,Dominant_Topic,Keywords,Text,CardVariant,Category
13,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",earn payback points every rs spent retail purchases except fuel points easily redeemable attractive products including manchester united merchandise payback india largest multi partner coalition loyalty programme,Manchester United Signature Credit Card,ACCOMMODATION FUEL UTILITIES
14,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",earn payback points every rs spent retail purchases except fuel points easily redeemable attractive products including manchester united merchandise payback india largest multi partner coalition loyalty programme,Manchester United Platinum Credit Card,ACCOMMODATION FUEL UTILITIES
15,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",earn payback points every spent retail purchases except fuel points easily redeemable attractive products payback india largest multi partner coalition loyalty programme get payback point every spent utilities insurance categories,Platinum Credit Card,ACCOMMODATION FUEL UTILITIES
16,5,"retail, online, landmark, max, helpline, cashier, centre, instant, convert, last",enjoy accelerated rewards every spent get icici bank reward points powered payback fuel spends hpcl pumps payback points icici bank rewards retail spends redeem payback points icici bank rewards hpcl pumps every payback points earn fuel worth,ICICI Bank HPCL Coral American Express Credit Card,ONLINE SHOPPING LANDMARK
17,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",earn payback points every spent retail purchases except fuel redeem payback points fuel worth,ICICI Bank HPCL Coral Visa/MasterCard Credit Cards,ACCOMMODATION FUEL UTILITIES
18,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",earn payback points use icici bank credit card also earn additional points payback partner brands purchase redeem payback points many options movie travel vouchers lifestyle products mobiles appliances icici bank credit card payback shopping truly rewarding earn payback points every spent retail purchases except fuel swipe payback membership card select hpcl pumps instantly redeem points fuel pump every payback points earn fuel worth,ICICI Bank HPCL Platinum Credit Card ,ACCOMMODATION FUEL UTILITIES
19,5,"retail, online, landmark, max, helpline, cashier, centre, instant, convert, last",earn rewards daily essential spends across mobile bills electricity bills departmental store purchases get back spends across categories every rs spent receive payback points earn payback points every rs spent retail purchases icici bank credit card entitles earn payback points transactions payback india largest reward programme powered icici bank rewards bring range exciting rewards everyday spending earn payback points use icici bank credit card also earn additional points payback partner brands purchase swipe payback membership card select hpcl pumps instantly redeem points fuel pump earn fuel worth rs every payback points redeem payback points many options hpcl fuel pumps movies travel vouchers lifestyle products mobiles appliances icici bank credit card payback shopping truly rewarding redemption option available payback points customer earn rs per month form cashback accelerated rewards across categories fuel cashback comprises fuel surcharge cashback capped rs per month accelerated reward points categories departmental stores electricity mobile bills capped rs worth payback points per month,ICICI Bank HPCL Super Saver Credit Card,ONLINE SHOPPING LANDMARK
20,5,"retail, online, landmark, max, helpline, cashier, centre, instant, convert, last",earn payback points every inr spent retail purchases points easily redeemable premium automobile products branded merchandise,Accelero Credit Card,ONLINE SHOPPING LANDMARK
21,5,"retail, online, landmark, max, helpline, cashier, centre, instant, convert, last",cashback online spends cashback offline spends wallet reloads,Millennia Credit Card,ONLINE SHOPPING LANDMARK
22,5,"retail, online, landmark, max, helpline, cashier, centre, instant, convert, last",cashback online spends cashback offline spends wallet reloads,Easy EMI Card,ONLINE SHOPPING LANDMARK
23,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",cashback online spends cashback offline spends wallet reloads,Millennia Prepaid Card,ACCOMMODATION FUEL UTILITIES
24,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",reward points every spent,INFINIA Metal Edition,ACCOMMODATION FUEL UTILITIES
25,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",complimentary ola select cult fit live bookmyshow tatacliq vouchers spends rs every month reward points every rs spent reward points partner brands,Diners Club Black Credit Card,ACCOMMODATION FUEL UTILITIES
26,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",upto unlimited cashback everytime,Paytm HDFC Bank Credit Card,ACCOMMODATION FUEL UTILITIES
27,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",upto unlimited cashback everytime,Paytm HDFC Bank Select Credit Card,ACCOMMODATION FUEL UTILITIES
28,6,"discount, hotel, complimentary, flat, carry, golf, classified, cash, quarter, booking",upto unlimited cashback everytime,Paytm HDFC Bank Mobile Credit Card,ACCOMMODATION
29,6,"discount, hotel, complimentary, flat, carry, golf, classified, cash, quarter, booking",reward points every spent,Regalia Credit Card,ACCOMMODATION
30,6,"discount, hotel, complimentary, flat, carry, golf, classified, cash, quarter, booking",complimentary ola select cult fit live bookmyshow tatacliq vouchers spends rs every month reward points every rs spent reward points partner brands,Diners Club Privilege Credit Card,ACCOMMODATION
31,5,"retail, online, landmark, max, helpline, cashier, centre, instant, convert, last",cashback amazon bookmyshow cult fit flipkart myntra sony liv swiggy tata cliq uber zomato cashback spends except fuel including emi wallet transactions cashback amazon flipkart flight hotel bookings shopping via payzapp smartbuy cashback online spends cashback offline spends wallet reloads,Millennia Credit Card,ONLINE SHOPPING LANDMARK
32,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",cashpoints amazon bigbasket flipkart reliance smart superstore swiggy cashpoints emi spends merchant locations cashpoints spends excluding fuel wallets loads,MoneyBack+ Credit Card,ACCOMMODATION FUEL UTILITIES
33,6,"discount, hotel, complimentary, flat, carry, golf, classified, cash, quarter, booking",earn cashpoints favourite merchants big basket bookmyshow oyo swiggy uber earn cashpoints emi spends merchant locations earn cashpoint per every rs spends excluding fuel wallets loads,Freedom Credit Card,ACCOMMODATION
34,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",earn reward points every rs spent earn reward points every rs spent online,MoneyBack Credit Card,ACCOMMODATION FUEL UTILITIES
35,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",reward points every spent,Regalia First Credit Card,ACCOMMODATION FUEL UTILITIES
36,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",earn reward point every spent,Freedom Credit Card,ACCOMMODATION FUEL UTILITIES
37,4,"dine, irctc, ticket, store, railway, charge, save, grocery, utility, departmental",reward points every spent,Platinum Times Card,TRAVEL DINING GROCERY UTILITIES
38,6,"discount, hotel, complimentary, flat, carry, golf, classified, cash, quarter, booking",reward points every spent,Titanium Times Card,ACCOMMODATION
39,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",rewards spends,6E Rewards - IndiGo HDFC Bank Credit Card,ACCOMMODATION FUEL UTILITIES
40,7,"etihad, mile, guest, class, book, international, discount, travel, economy, air",rewards spends,6E Rewards XL- IndiGo HDFC Bank Credit Card,TRAVEL
41,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",cashback amazon flipkart flight hotel bookings shopping via payzapp smartbuy cashback online spends cashback offline spends wallet reloads,Easy EMI Card,ACCOMMODATION FUEL UTILITIES
42,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",upto unlimited cashback everytime cash advance fee reversal rs,Paytm HDFC Bank Business Credit Card,ACCOMMODATION FUEL UTILITIES
43,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",upto unlimited cashback everytime,Paytm HDFC Bank SELECT Business Credit Card,GROCERY MOVIE DINING FUEL
44,5,"retail, online, landmark, max, helpline, cashier, centre, instant, convert, last",reward points every rs spent cashback telecom electricity government tax railway hotels dining taxi spends,Business Regalia,ONLINE SHOPPING LANDMARK
45,4,"dine, irctc, ticket, store, railway, charge, save, grocery, utility, departmental",reward points every rs spent online purchases reward points every rs spent expenses except fuel cashback telecom electricity government tax railway hotels dining taxi spends,Business MoneyBack,TRAVEL DINING GROCERY UTILITIES
46,5,"retail, online, landmark, max, helpline, cashier, centre, instant, convert, last",reward points every rs spent best price purchases reward points every rs spent irctc utility dining,Best Price Save Max HDFC Bank Credit Card,ONLINE SHOPPING LANDMARK
47,5,"retail, online, landmark, max, helpline, cashier, centre, instant, convert, last",cashback best price spends,Best Price Save Smart HDFC Bank Credit Card,ONLINE SHOPPING LANDMARK
48,7,"etihad, mile, guest, class, book, international, discount, travel, economy, air",reward points every rs spent online purchases reward points every rs spent expenses except fuel cashback telecom electricity government tax railway hotels dining taxi spends,CSC Small Business MoneyBack,TRAVEL
49,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",three reward points every rs spent redeem points air miles double reward points spends allmiles website,All Miles Credit Card,GROCERY MOVIE DINING FUEL
50,2,"landmark, mobile, call, store, movie, dining, retail, billing, spar, register",cashback irctc bookings bill payments fuel spends additional cashback easyemi payzapp smartbuy spends,Bharat Credit Card,LANDMARK STORES MOVIE DINING
51,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",enjoy cashback various products categories,Business Bharat Credit Card,GROCERY MOVIE DINING FUEL
52,4,"dine, irctc, ticket, store, railway, charge, save, grocery, utility, departmental",enjoy cashback movies dining super market spends taxi bill payment,Business Freedom Credit Card,TRAVEL DINING GROCERY UTILITIES
53,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",enjoy cashback retail international spends,Business Platinum Credit Card,GROCERY MOVIE DINING FUEL
54,2,"landmark, mobile, call, store, movie, dining, retail, billing, spar, register",earn reward points every spent cashback irctc utility tax payments,Business Regalia First Credit Card,LANDMARK STORES MOVIE DINING
55,5,"retail, online, landmark, max, helpline, cashier, centre, instant, convert, last",earn reward points every rs retail spends reward points partner brands,Diners Club Premium Credit Card,ONLINE SHOPPING LANDMARK
56,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",earn reward points every rs retail spends reward points partner brands,Diners Club Rewardz Credit Card,ACCOMMODATION FUEL UTILITIES
57,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",reward points every spent points dining spends reward points exchanged miles miles every point,Doctors Superia Credit Card,GROCERY MOVIE DINING FUEL
58,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",exciting cashback offers everyday spends reward points every spent reward points premium restaurants redemption reward points cashback pay credit card dues,Platinum Edge Credit Card,GROCERY MOVIE DINING FUEL
59,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",reward points every spent reward points every spent per statement cycle,Platinum Plus Credit Card,ACCOMMODATION FUEL UTILITIES
60,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",reward points every spent reward points dining grocery spends,Solitaire Credit Card,GROCERY MOVIE DINING FUEL
61,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",reward points every spent reward points weekends,Teachers Platinum Credit Card,ACCOMMODATION FUEL UTILITIES
62,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",great cashback offers everyday spends reward points every spent reward points premium restaurants redemption reward points cashback pay credit card dues,Titanium Edge Credit Card,GROCERY MOVIE DINING FUEL
63,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",reward points every spent,Visa Signature Credit Card,GROCERY MOVIE DINING FUEL
64,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",reward points every spent reward points every spent per statement cycle,World MasterCard Credit Card,GROCERY MOVIE DINING FUEL
65,6,"discount, hotel, complimentary, flat, carry, golf, classified, cash, quarter, booking",cashback shopping via payzapp smartbuy cashback online spends cashback offline spends wallet reloads,Millennia Prepaid Card,ACCOMMODATION
66,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",earn reward points every spent,Corporate Premium Credit Card,GROCERY MOVIE DINING FUEL
67,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",earn reward points every rs spent card,HDFC Bank & SAP Concur Solutions Black Corporate Credit Card,GROCERY MOVIE DINING FUEL
68,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",earn reward points every spend air travel hotel bookings dining commerce spends,Business Corporate MoneyBack Credit Card,GROCERY MOVIE DINING FUEL
69,2,"landmark, mobile, call, store, movie, dining, retail, billing, spar, register",earn two reward points every spend,Corporate World MasterCard Credit Card,LANDMARK STORES MOVIE DINING
70,2,"landmark, mobile, call, store, movie, dining, retail, billing, spar, register",enjoy cashback purchases,Purchase Reward Credit Card,LANDMARK STORES MOVIE DINING
71,2,"landmark, mobile, call, store, movie, dining, retail, billing, spar, register",get reward points dining departmental stores grocery spends earn reward points per rs spends except fuel pay card outstanding reward points reward points rs,SBI Card ELITE,LANDMARK STORES MOVIE DINING
72,2,"landmark, mobile, call, store, movie, dining, retail, billing, spar, register",enjoy reward points per rs spent chemist pharmacy dining movies spends earn reward points per rs spent spends pay card outstanding reward points reward points rs also redeem reward points host options reward catalogue,SBI Card PULSE,LANDMARK STORES MOVIE DINING
73,2,"landmark, mobile, call, store, movie, dining, retail, billing, spar, register",get reward points medical supplies travel bookings international spends get reward points spends doctor day st july earn reward point per rs spends pay card outstanding reward points reward points rs,Doctor's SBI Card (in association with IMA),LANDMARK STORES MOVIE DINING
74,2,"landmark, mobile, call, store, movie, dining, retail, billing, spar, register",get reward points dining departmental stores grocery spends earn reward points per rs spends pay card outstanding reward points reward points rs,SBI Card ELITE Advantage,LANDMARK STORES MOVIE DINING
75,2,"landmark, mobile, call, store, movie, dining, retail, billing, spar, register",get reward points medical supplies travel bookings international spends get reward points spends doctors day st july earn reward point per rs spends pay card outstanding reward points reward points rs also redeem reward points host options reward catalogue gift voucher yatra com bata shoppers stop worth rs achieving annual spends rs lakhs,Doctor's SBI Card,LANDMARK STORES MOVIE DINING
76,2,"landmark, mobile, call, store, movie, dining, retail, billing, spar, register",get reward points per rs spent dining groceries departmental stores movies earn reward points per rs retail spends except fuel pay card outstanding reward points reward points rs,SBI Card PRIME,LANDMARK STORES MOVIE DINING
77,2,"landmark, mobile, call, store, movie, dining, retail, billing, spar, register",earn reward points per rs spent standing instructions utility bills payments capping reward points per month earn reward points per rs spent dining departmental stores grocery movie spends earn reward points per rs retail spends except fuel pay card outstanding reward points reward points rs,SBI Card PRIME Advantage,LANDMARK STORES MOVIE DINING
78,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",enjoy freedom paying fuel surcharge across petrol pumps india maximum surcharge waiver rs monthly fuel transactions rs rs eligible fuel surcharge waiver gst extra wherever applicable,Apollo SBI Card,GROCERY MOVIE DINING FUEL
79,6,"discount, hotel, complimentary, flat, carry, golf, classified, cash, quarter, booking",earn reward points spends earn reward points ola rides reward points automatically credited ola money wallet reward point,OLA Money SBI Card,ACCOMMODATION
80,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",cashback paytm mall movies travel cashback purchases paytm app cashback spends across millions offline online stores cashback paytm mall movies travel cashback purchases paytm app cashback spends across millions offline online stores,Paytm SBI Card SELECT,GROCERY MOVIE DINING FUEL
81,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",reward points per spent fabindia stores reward points per spent dining movies entertainment reward point per spent international spends reward point per spent spends convert reward points fabfamily rewards placing website mobile call center fabfamily rewards used shopping fabindia stores minimum reward points redeemed reward points multiple reward point fabfamily reward,FABINDIA SBI CARD SELECT,GROCERY MOVIE DINING FUEL
82,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",reward points per spent fabindia stores reward points per spent dining movies entertainment reward point per spent international spends reward point per spent spends convert reward points fabfamily rewards placing website mobile call center fabfamily rewards used shopping fabindia stores minimum reward points redeemed reward points multiple reward point fabfamily reward,FABINDIA SBI CARD,ACCOMMODATION FUEL UTILITIES
83,5,"retail, online, landmark, max, helpline, cashier, centre, instant, convert, last",get reward point worth rs payment renewal fees reward points credited card holders account within days fee payment enjoy reward points every rs spent online retail landmark stores lifestyle home centre max spar enjoy reward points every rs spent dining movies earn reward point per rs spent retail purchases non fuel reward point rs redeem reward points instantly lifestyle home centre max stores convert reward points landmark landmark rewards via calling helpline number lmr sbi card reward points approach cashier billing share last digits credit card registered mobile reward points converted landmark rewards instant redemption landmark reward rs,Lifestyle Home Centre SBI Card PRIME,ONLINE SHOPPING LANDMARK
84,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",enjoy reward points every rs spent online retail landmark stores lifestyle home centre max spar enjoy reward points every rs spent dining movies earn reward point per rs spent retail purchases non fuel reward point rs redeem reward points instantly lifestyle home centre max stores convert reward points landmark landmark rewards via calling helpline number lmr sbi card reward points approach cashier billing share last digits credit card registered mobile reward points converted landmark rewards instant redemption landmark reward rs,Max SBI Card PRIME,GROCERY MOVIE DINING FUEL
85,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",enjoy reward points every rs spent online retail landmark stores lifestyle home centre max spar enjoy reward points every rs spent dining movies earn reward point per rs spent retail purchases non fuel reward point rs redeem reward points instantly lifestyle home centre max stores convert reward points landmark landmark rewards via calling helpline number lmr sbi card reward points approach cashier billing share last digits credit card registered mobile reward points converted landmark rewards instant redemption landmark reward rs,Spar SBI Card PRIME,GROCERY MOVIE DINING FUEL
86,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",enjoy reward points every rs spent online retail landmark stores lifestyle home centre max spar dining movies earn reward point per rs spent retail purchases non fuel reward point rs redeem reward points instantly lifestyle home centre max stores convert reward points landmark landmark rewards via calling helpline number lmr sbi card reward points approach cashier billing share last digits credit card registered mobile reward points converted landmark rewards instant redemption landmark reward rs,Lifestyle Home Centre SBI Card SELECT,GROCERY MOVIE DINING FUEL
87,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",enjoy reward points every rs spent online retail landmark stores lifestyle home centre max spar dining movies earn reward point per rs spent retail purchases non fuel reward point rs redeem reward points instantly lifestyle home centre max stores convert reward points landmark landmark rewards via calling helpline number lmr sbi card reward points approach cashier billing share last digits credit card registered mobile reward points converted landmark rewards instant redemption landmark reward rs,Max SBI Card SELECT,GROCERY MOVIE DINING FUEL
88,4,"dine, irctc, ticket, store, railway, charge, save, grocery, utility, departmental",enjoy reward points every rs spent online retail landmark stores lifestyle home centre max spar dining movies earn reward point per rs spent retail purchases non fuel reward point rs redeem reward points instantly lifestyle home centre max stores convert reward points landmark landmark rewards via calling helpline number lmr sbi card reward points approach cashier billing share last digits credit card registered mobile reward points converted landmark rewards instant redemption landmark reward rs,Spar SBI Card SELECT,TRAVEL DINING GROCERY UTILITIES
89,4,"dine, irctc, ticket, store, railway, charge, save, grocery, utility, departmental",enjoy reward points every rs spent online retail landmark stores lifestyle home centre max spar dining movies earn reward point per rs spent retail purchases non fuel reward point rs redeem reward points instantly lifestyle home centre max stores convert reward points landmark landmark rewards via calling helpline number lmr sbi card reward points approach cashier billing share last digits credit card registered mobile reward points converted landmark rewards instant redemption landmark reward rs,Spar SBI Card,TRAVEL DINING GROCERY UTILITIES
90,7,"etihad, mile, guest, class, book, international, discount, travel, economy, air",enjoy reward points every rs spent online retail landmark stores lifestyle home centre max spar dining movies earn reward point per rs spent retail purchases non fuel reward point rs get maximum surcharge waiver rs per statement cycle per credit card account redeem reward points instantly lifestyle home centre max stores convert reward points landmark landmark rewards via calling helpline number lmr sbi card reward points approach cashier billing share last digits credit card registered mobile reward points converted landmark rewards instant redemption landmark reward rs,Max SBI Card,TRAVEL
91,7,"etihad, mile, guest, class, book, international, discount, travel, economy, air",enjoy reward points every rs spent online retail landmark stores lifestyle home centre max spar dining movies earn reward point per rs spent retail purchases non fuel reward point rs redeem reward points instantly lifestyle home centre max stores convert reward points landmark landmark rewards via calling helpline number lmr sbi card reward points approach cashier billing share last digits credit card registered mobile reward points converted landmark rewards instant redemption landmark reward rs,Lifestyle Home Centre SBI Card,TRAVEL
92,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",earn rewards online spends exclusive partners amazon apollo bookmyshow cleartrip eazydiner lenskart netmeds earn rewards online spends earn reward point per rs spends spend rs first days get bonus reward points enjoy reward points per rs spent dining movies departmental stores grocery spends spends earn reward point per rs spent reward points rs,SimplyCLICK SBI Card,GROCERY MOVIE DINING FUEL
93,1,"booking, hotel, bill, pump, complimentary, option, available, cash, electricity, flat",upfront discount flat round year whenever shop fashion apparel accessories backpacks footwear school bags fbbonline fbb big bazaar stores reward points spends big bazaar standalone fbb food bazaar outlets dining expenditures retail spends less fuel earn reward point per rs spent,fbb SBI STYLEUP Card,ACCOMMODATION FUEL UTILITIES
94,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",select points every rs spent central store select points every rs dining movies select points every rs retail spends non fuel select point rs,Central SBI Select+ Card,GROCERY MOVIE DINING FUEL
95,0,"book, ticket, booking, domestic, international, air, value, holiday, car, return",select points every rs spent central store select points every rs dining movies select points every rs retail spends non fuel select point rs,Central SBI Select Credit Card,TRAVEL ACCOMMODATION
96,0,"book, ticket, booking, domestic, international, air, value, holiday, car, return",get reward point per rs spent use credit card reward points redeem wide array gifts rewards catalogue,SBI Unnati Credit Card,TRAVEL ACCOMMODATION
97,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",earn rewards online spends exclusive partners amazon apollo bookmyshow cleartrip eazydiner lenskart netmeds earn rewards online spends,SimplyCLICK Advantage SBI Card,GROCERY MOVIE DINING FUEL
98,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",enjoy reward points per rs spent dining movies departmental stores grocery spends spends earn reward point per rs spent reward points rs,SimplySAVE Advantage SBI Card,GROCERY MOVIE DINING FUEL
99,4,"dine, irctc, ticket, store, railway, charge, save, grocery, utility, departmental",earn reward points csd dining movies departmental stores grocery spends earn reward point per rs spent categories,Shaurya SBI Credit Card,TRAVEL DINING GROCERY UTILITIES
100,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",earn reward points per rs spent dining movies departmental stores grocery including csd canteen spends earn reward points per rs spent spends,Shaurya Select SBI Card,GROCERY MOVIE DINING FUEL
101,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",enjoy reward points every rs spent bpcl fuel lubricants bharat gas website app spends enjoy reward points every rs spent dining departmental stores grocery movies reward points per month,BPCL SBI Card OCTANE,GROCERY MOVIE DINING FUEL
102,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",value back ac ac ac ac cc reward points ticket purchase www irctc co irctc mobile app android earn reward points per spent dining standing instructions utility spends save transaction charges railway ticket bookings www irctc co save transaction charges airline ticket bookings www air irctc co,IRCTC SBI Card Premier,GROCERY MOVIE DINING FUEL
103,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",buy tickets irctc co irctc mobile app android ac ac ac ac cc earn value back reward points get reward point every rs spent non fuel retail purchases including railway ticket purchases www irctc co irctc mobile app android save transaction charges railway ticket bookings www irctc co, IRCTC SBI Card (on RuPay platform),GROCERY MOVIE DINING FUEL
104,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",earn cv points per rs spent spends,Club Vistara SBI Card PRIME,GROCERY MOVIE DINING FUEL
105,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",earn cv points per rs spent spends,Club Vistara SBI Card,GROCERY MOVIE DINING FUEL
106,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",etihad guest miles every rs spent etihad com etihad guest miles every rs spent international spends etihad guest miles every rs spent spends except fuel upto economy class business class discount direct etihad airways booking upto discount travel rewards miles redemption,Etihad Guest SBI Premier Card,GROCERY MOVIE DINING FUEL
107,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",etihad guest miles every rs spent etihad com etihad guest miles every rs spent international spends etihad guest mile every rs spent spends except upto economy class business class discount direct etihad airways booking discount travel rewards miles redemption,Etihad Guest SBI Card,GROCERY MOVIE DINING FUEL
108,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",valueback reward points fuel purchases bpcl petrol pumps maximum reward points per billing cycle fuel surcharge waiver every bpcl transaction upto exclusive gst charges reward points every spent groceries departmental stores movies dining reward points per month get reward point every rs spent non fuel retail purchases,BPCL SBI Card,GROCERY MOVIE DINING FUEL
109,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",rs domestic flight bookings min trxn rs rs international flight bookings min trxn rs domestic hotels min trxn rs max discount rs,Yatra SBI Credit Card,GROCERY MOVIE DINING FUEL
110,3,"store, departmental, movie, grocery, accrue, cap, pump, dining, bill, achieve",reward points every rs spend departmental stores grocery dining movies entertainment reward points per month international spends reward points per month,Yatra SBI Credit Card,GROCERY MOVIE DINING FUEL
